title,metacritic_score
Call Me Kuchu,80
The Band's Visit,80
Lady Chatterley,80
Room 237,80
Boy and the World,80
Set Me Free,80
Broadway Danny Rose,80
"Good Night, and Good Luck.",80
American Animals,80
The Survivalist,80
Mad Max Beyond Thunderdome,80
Another Year,80
Sweetgrass,80
Indivisible,80
Little Miss Sunshine,80
Riding Giants,80
Demon,80
Young Frankenstein,80
Memento,80
The Day of the Jackal,80
The Shawshank Redemption,80
California Typewriter,80
Lorna's Silence,80
The Force,80
Deep Water,80
The Pearl Button,80
Jung (War) in the Land of the Mujaheddin,80
My Dog Tulip,80
Off the Rails,80
Spellbound,80
Last Men in Aleppo,80
Good Time,80
Iris,80
I Wish,80
What Richard Did,80
Bending the Arc,80
Bigger Stronger Faster*,80
The Secret in Their Eyes,80
Mystery Train,80
True Grit,80
Peter and the Farm,80
Cabaret,80
Let the Sunshine In,80
Bugsy,80
A Bronx Tale,80
Henry: Portrait of a Serial Killer,80
Rabbit-Proof Fence,80
The Simpsons Movie,80
Big Night,80
Howl's Moving Castle,80
All the President's Men,80
Miss Bala,80
Sunset Story,80
Claire's Camera,80
Lean on Pete,80
The Mill and the Cross,80
Whale Rider,80
Central Station,80
Once Upon a Time in the West (re-release),80
The Last of the Unjust,80
White God,80
Going Clear: Scientology and the Prison of Belief,80
The Sting,80
A Room with a View,80
The Four Times (Le Quattro Volte),80
Goodbye First Love,80
The Last Temptation of Christ,80
Kiss of the Spider Woman (re-release),80
Three Times,80
"Food, Inc.",80
Love and Death on Long Island,80
Promises,80
The Endless,80
Dead Man Walking,80
Café Lumière,80
The Assassin,80
Junebug,80
The Hours,80
One Flew Over the Cuckoo's Nest,80
Wendy and Lucy,80
On the Ropes,80
Tom Dowd & the Language of Music,80
The Secret World of Arrietty,80
Neon Bull,80
Wild Reeds,80
The Martian,80
North Dallas Forty,80
Shake Hands with the Devil: The Journey of Roméo Dallaire,80
Unrest,80
Encounters at the End of the World,80
Which Way Is the Front Line from Here? The Life and Time of Tim Hetherington,80
Frost/Nixon,80
Siddhartha (re-release),80
Minority Report,80
Last Resort,80
MASH,80
Tony Takitani,80
West of Memphis,80
Everlasting Moments,80
Gleason,80
The Wound,80
Gimme Shelter (re-release),80
"Arabian Nights: Volume 3, The Enchanted One",80
Charlie: The Life and Art of Charles Chaplin,80
Nine Lives,80
Love & Mercy,80
Pervert Park,80
On the Beach at Night Alone,80
Saraband,80
The Strange Little Cat,80
Cinema Paradiso,80
Concerning Violence,80
Casino Royale,80
"Arabian Nights: Volume 1, The Restless One",80
She's Beautiful When She's Angry,80
Theeb,80
We Come as Friends,80
The Turin Horse,80
The Guilty,80
Melancholia,80
The Queen of Versailles,80
The Untold Story of Emmett Louis Till,80
Incendies,80
The Wild Parrots of Telegraph Hill,80
Nine Queens,80
The Color of Paradise,80
A Fish Called Wanda,80
Trophy,80
Mother,79
Brawl in Cell Block 99,79
Free Willy,79
Joe Strummer: The Future Is Unwritten,79
Searching for Sugar Man,79
I Am Love,79
Sing Street,79
Keane,79
Contemporary Color,79
The Law in These Parts,79
Va Savoir (Who Knows?),79
Manufactured Landscapes,79
Li'l Quinquin,79
Brand Upon the Brain!,79
Black Swan,79
Our Children,79
Fill the Void,79
Keep the Lights On,79
Glen Campbell: I'll Be Me,79
Hermia & Helena,79
Winter on Fire: Ukraine's Fight for Freedom,79
Senna,79
Reservoir Dogs,79
Time Bandits,79
Beyond the Hills,79
Your Name.,79
The Sessions,79
March of the Penguins,79
Jonestown: The Life and Death of Peoples Temple,79
Mountain,79
Lucky,79
Oasis,79
Dinner Rush,79
Spring Forward,79
Two Family House,79
Pariah,79
City of God,79
Birders: The Central Park Effect ,79
Into the Arms of Strangers: Stories of the Kindertransport,79
Mountains May Depart,79
Silence,79
Gabrielle,79
War Photographer,79
Sexy Beast,79
Beautiful People,79
The War of the Roses,79
Policeman,79
Harvard Beats Yale 29-29,79
Midnight Cowboy,79
Dear White People,79
Broken Flowers,79
Loving,79
November,79
The Green Fog,79
The Crash Reel,79
Hitchcock/Truffaut,79
The Order of Myths,79
Moving Midway,79
Flags of Our Fathers,79
Reprise,79
Bright Leaves,79
What Time Is It Over There?,79
The People vs. Larry Flynt,79
The Thin Blue Line,79
A Serious Man,79
"Christmas, Again",79
Sami Blood,79
Kinsey,79
Wagner's Dream,79
Red Rock West,79
The Meyerowitz Stories (New and Selected),79
Stray Dog,79
She's Gotta Have It,79
Pride,79
Precious: Based on the Novel 'Push' by Sapphire,79
Hotel Rwanda,79
Photographic Memory,79
Planet of the Apes,79
Joan Rivers: A Piece of Work,79
Baran,79
Chunhyangdyun,79
High Fidelity,79
Short Cuts,79
The Fly,79
The Black Panthers: Vanguard of the Revolution,79
Coriolanus,79
Counting,79
A Most Violent Year,79
Annihilation,79
Animal House,79
Gone Girl,79
The Central Park Five,79
Look at Me,79
I've Loved You So Long,79
Summer Palace,79
Only Lovers Left Alive,79
In a World...,79
Terms of Endearment,79
Walking Out,79
Dawn of the Planet of the Apes,79
The Untouchables,79
IMAX: Hubble 3D,79
Blind Spot. Hitler's Secretary,79
The Piano Teacher,79
Trolösa,79
Praise,79
Affliction,79
Dead Poets Society,79
Wings of Desire,79
Life of Pi,79
Let Me In,79
For Those in Peril,79
Fences,79
Chats perchés,79
The Witness,79
So Much So Fast,79
American Honey,79
The Winslow Boy,79
Green Room,79
Tarzan,79
The Fighter,79
Jodorowsky's Dune,79
The Five Obstructions,79
Beasts of No Nation,79
Gandhi,79
Tu Dors Nicole,79
Iron Monkey,79
Suspiria,79
The Visitor,79
One of Us,79
Control Room,79
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,79
Poltergeist,79
Colliding Dreams,79
Iron Man,79
Deceptive Practices: The Mysteries and Mentors of Ricky Jay,79
Silent Light,79
O'Horten,78
Barracuda,78
Clash,78
Amanda Knox,78
The Color Purple,78
5 Broken Cameras,78
Dirty Pretty Things,78
Amandla! A Revolution in Four Part Harmony,78
Punch-Drunk Love,78
The Thin Red Line,78
How to Draw a Bunny,78
Diamond Men,78
In Between,78
Manhunter,78
Born to Fly,78
The Innocents,78
Halloween,78
Pray the Devil Back to Hell,78
Under the Skin,78
Aberdeen,78
The Last Man on the Moon,78
Before I Forget,78
In the Fog,78
My Joy,78
A Silent Voice,78
Castle in the Sky,78
Funny Ha Ha,78
Thirteen,78
The Taste of Others,78
The Deep End,78
A Gentle Creature,78
Beware of Mr. Baker,78
Lightning in a Bottle,78
Airplane!,78
Head-On,78
Starting Out in the Evening,78
Welcome to Leith,78
Into Great Silence,78
"After Dark, My Sweet",78
Putty Hill,78
"I, Daniel Blake",78
It Comes at Night,78
Zootopia,78
Innocence,78
Blue Jasmine,78
Lost Boys of Sudan,78
Speed,78
Racing Dreams,78
Eureka,78
Please Give,78
The Real Dirt on Farmer John,78
Hellboy II: The Golden Army,78
Tabu,78
Painted Fire,78
Hard Eight,78
How I Killed My Father,78
Lumumba,78
Rocks in My Pockets,78
Harry Potter and the Half-Blood Prince,78
Booker's Place: A Mississippi Story,78
The Counterfeiters,78
Southern Comfort,78
Roman Polanski: Wanted and Desired,78
After the Wedding,78
The Dark Knight Rises,78
The Lost City of Z,78
Devil in a Blue Dress,78
The Devil's Backbone,78
Blind Shaft,78
A Time for Drunken Horses,78
The Tribe,78
Midnight Run,78
The Guard,78
No Home Movie,78
Pavilion,78
A Clockwork Orange,78
Hooligan Sparrow,78
Ex Machina,78
The House of Mirth,78
Human Resources,78
My Flesh and Blood,78
The Devil Came on Horseback,78
Kedi,78
Love Exposure,78
Goldstone,78
Waste Land,78
Son frère,78
Morvern Callar,78
Murderous Maids,78
Last Orders,78
Ça commence aujourd'hui,78
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",78
Dazed and Confused,78
Afghan Star,78
Tropical Malady,78
Logan Lucky,78
Paradise: Hope,78
The Aura,78
Alice Doesn't Live Here Anymore,78
Missing,78
